V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
18,5,3,54,54,38.07184,3.911398410797119,True,48.77384,5.506681203842163,True,47.21184,12.479628324508667,True,,1.2811001517131821,1.2400724525003257
32,6,3,96,96,67.74232,5.323528289794922,True,99.60552,9.25711464881897,True,77.18016,17.56446075439453,True,,1.4703588539630763,1.1393197044329157
50,7,4,200,200,112.61728,8.536862850189209,True,177.38904,21.41291642189026,True,112.70272,30.603606462478638,True,,1.5751493909282839,1.0007586757556213
98,11,6,588,588,239.79488,21.430338144302368,True,435.45216,89.63827776908875,True,264.0796,113.22614240646362,True,,1.8159360199850805,1.1012728878948541
128,12,6,768,768,308.7616,30.734902143478394,True,589.29088,142.87904739379883,True,341.86472,176.33567094802856,True,,1.9085627228256365,1.1072125549291103
162,13,7,1134,1134,409.19328,46.621570348739624,True,793.26312,223.6553418636322,True,407.83312,314.27271604537964,True,,1.9386025107743703,0.9966759962431445
242,17,9,2178,2178,673.80448,97.07517695426941,True,1347.93704,453.3905498981476,True,739.28344,957.1602339744568,True,,2.000486906824959,1.0971779825506651
338,19,10,3380,3380,925.42112,168.79796981811523,True,,597.5822048187256,False,,0.04171609878540039,False,,,
512,24,12,6144,6144,,0.3800046443939209,False,,0.34806346893310547,False,,0.33692383766174316,False,,,
578,25,13,7514,7514,,0.26635193824768066,False,,0.3233175277709961,False,,0.6180684566497803,False,,,
722,29,15,10830,10830,,0.36458253860473633,False,,0.3677201271057129,False,,0.32820844650268555,False,,,
