V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
18,5,3,54,54,38.07184,3.8522403240203857,True,55.88312,5.7399938106536865,True,59.27608,14.703016757965088,True,,1.4678334433008753,1.5569533807664666
32,6,3,96,96,53.45728,4.805815696716309,True,126.25904,11.371382713317871,True,126.77656,23.96338438987732,True,,2.3618680187244845,2.3715490200773406
50,7,4,200,200,119.976,9.614435195922852,True,236.70272,28.024479627609253,True,219.45424,62.8233277797699,True,,1.97291725011669,1.8291511635660465
98,11,6,588,588,247.14592,27.551926851272583,True,626.4288,135.93643283843994,True,621.00272,317.4031071662903,True,,2.534651593681984,2.51269662877704
128,12,6,768,768,227.21072,35.42216205596924,True,885.13112,238.80947375297546,True,890.04128,513.7137393951416,True,,3.895639783193328,3.917250383256565
162,13,7,1134,1134,427.60224,74.69473886489868,True,1231.09384,371.72210001945496,True,1175.80528,891.418788433075,True,,2.8790631218395863,2.749764079813988
242,17,9,2178,2178,673.80448,214.46985697746277,True,2178.07216,827.693596124649,True,1963.526,2488.7588999271393,True,,3.2324987806551837,2.9140886685704435
338,19,10,3380,3380,973.25072,513.4940409660339,True,3684.54536,1641.629781961441,True,3397.90408,5401.121807336807,True,,3.785813135591618,3.4912936719944065
512,24,12,6144,6144,,2071.598128795624,False,,1729.5796053409576,False,,1773.8187198638916,False,,,
578,25,13,7514,7514,,1744.3130745887756,False,,1876.635057926178,False,,2038.1974968910217,False,,,
722,29,15,10830,10830,,1880.7820541858673,False,,1532.2071325778961,False,,1601.6583938598633,False,,,
